# SNRtot_MF, evidence220_330, evidence220
7.984837743877167782e+01 -3.960510531094879525e+02 -3.967895136589513072e+02
3.812330741384191413e+01 -4.063958655628255201e+02 -4.074993737690733724e+02
1.047076591894538495e+02 -4.114324780140756843e+02 -4.117656605959906528e+02
9.354320091159589623e+00 -3.953406174179558548e+02 -3.955633815852312409e+02
1.028169206927610873e+02 -1.100334141782223242e+03 -1.100523363399613572e+03
3.520673114264431547e+01 -4.079433925607268066e+02 -4.086740954443457099e+02
5.589438363197704263e+01 -4.598206119950428388e+02 -4.606388795653763282e+02
1.227545251644382240e+01 -3.779763837034770972e+02 -3.804985888331427191e+02
3.526945286828726012e+01 -3.870178783612236089e+02 -3.874334986052651857e+02
4.644885515727558101e+01 -4.044689405755463554e+02 -4.051543322952008452e+02
4.387013468157578444e+01 -4.299137897140696509e+02 -4.303529027613479343e+02
9.640550280188251975e+01 -6.628591920624054410e+02 -6.617668064080994554e+02
3.182804958802643114e+01 -4.495293504646554652e+02 -4.502946383956605132e+02
1.458717426735395684e+01 -3.788516775934447196e+02 -3.797602349932797097e+02
1.046273692018223329e+02 -6.080047281309007303e+02 -6.105468369139048264e+02
4.347904330525257599e+00 -3.635090571911934489e+02 -3.656306631679000816e+02
